cod_dep;nom_dep;cod_mun;nom_mun;poblacion
05;Antioquia;05002;Abejorral;20602
54;Norte de Santander;54003;Ábrego;34395
05;Antioquia;05004;Abriaquí;2777
50;Meta;50006;Acacías;92607
27;Chocó;27006;Acandí;14274
41;Huila;41006;Acevedo;25510
13;Bolívar;13006;Achí;25263
41;Huila;41013;Agrado;9010
25;Cundinamarca;25001;Agua de Dios;12813
20;Cesar;20011;Aguachica;121140
68;Santander;68013;Aguada;1888
17;Caldas;17013;Aguadas;23245
85;Casanare;85010;Aguazul;38360
20;Cesar;20013;Agustín Codazzi;66019
41;Huila;41016;Aipe;16685
25;Cundinamarca;25019;Albán;7152
52;Nariño;52019;Albán;9318
18;Caquetá;18029;Albania;4442
44;La Guajira;44035;Albania;33006
68;Santander;68020;Albania;4385
76;Valle del Cauca;76020;Alcalá;14375
52;Nariño;52022;Aldana;7359
05;Antioquia;05021;Alejandría;4771
47;Magdalena;47030;Algarrobo;17046
41;Huila;41020;Algeciras;22760
19;Cauca;19022;Almaguer;18322
15;Boyacá;15022;Almeida;1820
73;Tolima;73024;Alpujarra;4470
41;Huila;41026;Altamira;4404
27;Chocó;27025;Alto Baudó;28528
13;Bolívar;13030;Altos del Rosario;11756
73;Tolima;73026;Alvarado;8739
05;Antioquia;05030;Amagá;31768
05;Antioquia;05031;Amalfi;27496
73;Tolima;73030;Ambalema;6579
25;Cundinamarca;25035;Anapoima;16702
52;Nariño;52036;Ancuya;8601
76;Valle del Cauca;76036;Andalucía;22716
05;Antioquia;05034;Andes;44885
05;Antioquia;05036;Angelópolis;5932
05;Antioquia;05038;Angostura;11715
25;Cundinamarca;25040;Anolaima;15156
05;Antioquia;05040;Anorí;19404
17;Caldas;17042;Anserma;37005
76;Valle del Cauca;76041;Ansermanuevo;17409
05;Antioquia;05044;Anzá;7280
73;Tolima;73043;Anzoátegui;10034
05;Antioquia;05045;Apartadó;129751
66;Risaralda;66045;Apía;12315
25;Cundinamarca;25599;Apulo;9094
15;Boyacá;15047;Aquitania;15656
47;Magdalena;47053;Aracataca;42128
17;Caldas;17050;Aranzazu;10646
68;Santander;68051;Aratoca;8581
81;Arauca;81001;Arauca;99143
81;Arauca;81065;Arauquita;57562
25;Cundinamarca;25053;Arbeláez;11394
52;Nariño;52051;Arboleda;8418
54;Norte de Santander;54051;Arboledas;10194
05;Antioquia;05051;Arboletes;30984
15;Boyacá;15051;Arcabuco;6021
13;Bolívar;13042;Arenal;7890
05;Antioquia;05055;Argelia;7662
19;Cauca;19050;Argelia;26800
76;Valle del Cauca;76054;Argelia;5205
47;Magdalena;47058;Ariguaní;32281
13;Bolívar;13052;Arjona;74819
05;Antioquia;05059;Armenia;5153
63;Quindío;63001;Armenia;308463
73;Tolima;73055;Armero;12072
13;Bolívar;13062;Arroyohondo;8839
20;Cesar;20032;Astrea;21499
73;Tolima;73067;Ataco;19171
27;Chocó;27050;Atrato;6259
23;Córdoba;23068;Ayapel;47633
27;Chocó;27073;Bagadó;11355
27;Chocó;27075;Bahía Solano;10362
27;Chocó;27077;Bajo Baudó;30719
19;Cauca;19075;Balboa;21608
66;Risaralda;66075;Balboa;6346
08;Atlántico;08078;Baranoa;68264
41;Huila;41078;Baraya;8337
52;Nariño;52079;Barbacoas;56524
05;Antioquia;05079;Barbosa;55201
